agent_id,frame,decision,sim,stored_label,used_packet_agent,used_packet_ts,local_backbone,local_embedding_dim,used_packet_model_name,used_packet_model_version,cross_agent_reuse,heavy_label,heavy_confidence,heavy_latency_ms,heavy_detector_mode
agent_1,1,heavy,,,,,resnet18,256,,,0,Person,0.8810703704062958,242.67179999151267,opencv_hog
agent_1,2,skipped,0.9881421327590942,Person,agent_1,1776424376.8912337,resnet18,256,resnet18,torchvision,0,,,,opencv_hog
agent_1,3,skipped,0.977977216243744,Person,agent_1,1776424376.8912337,resnet18,256,resnet18,torchvision,0,,,,opencv_hog
agent_1,4,skipped,0.9685539603233336,Person,agent_1,1776424376.8912337,resnet18,256,resnet18,torchvision,0,,,,opencv_hog
agent_1,5,skipped,0.9673978090286256,Person,agent_1,1776424376.8912337,resnet18,256,resnet18,torchvision,0,,,,opencv_hog
agent_1,6,skipped,0.96097993850708,Person,agent_1,1776424376.8912337,resnet18,256,resnet18,torchvision,0,,,,opencv_hog
agent_1,7,skipped,0.962961971759796,Person,agent_1,1776424376.8912337,resnet18,256,resnet18,torchvision,0,,,,opencv_hog
agent_1,8,skipped,0.971024215221405,Person,agent_1,1776424376.8912337,resnet18,256,resnet18,torchvision,0,,,,opencv_hog
agent_2,1,heavy,,,,,mobilenet_v3_small,256,,,0,Person,0.8810703704062958,1054.4261000031838,opencv_hog
agent_2,2,skipped,0.9981508255004884,Person,agent_2,1776424377.9105418,mobilenet_v3_small,256,mobilenet_v3_small,torchvision,0,,,,opencv_hog
agent_2,3,skipped,0.9972913265228271,Person,agent_2,1776424377.9105418,mobilenet_v3_small,256,mobilenet_v3_small,torchvision,0,,,,opencv_hog
agent_2,4,skipped,0.995469093322754,Person,agent_2,1776424377.9105418,mobilenet_v3_small,256,mobilenet_v3_small,torchvision,0,,,,opencv_hog
agent_2,5,skipped,0.994487762451172,Person,agent_2,1776424377.9105418,mobilenet_v3_small,256,mobilenet_v3_small,torchvision,0,,,,opencv_hog
agent_2,6,skipped,0.9955732822418212,Person,agent_2,1776424377.9105418,mobilenet_v3_small,256,mobilenet_v3_small,torchvision,0,,,,opencv_hog
agent_2,7,skipped,0.994023323059082,Person,agent_2,1776424377.9105418,mobilenet_v3_small,256,mobilenet_v3_small,torchvision,0,,,,opencv_hog
agent_2,8,skipped,0.9941471219062804,Person,agent_2,1776424377.9105418,mobilenet_v3_small,256,mobilenet_v3_small,torchvision,0,,,,opencv_hog
agent_3,1,skipped,0.871721088886261,Person,agent_1,1776424376.8912337,efficientnet_b0,256,resnet18,torchvision,1,,,,opencv_hog
agent_3,2,skipped,0.8686327338218689,Person,agent_1,1776424376.8912337,efficientnet_b0,256,resnet18,torchvision,1,,,,opencv_hog
agent_3,3,skipped,0.8700758814811707,Person,agent_1,1776424376.8912337,efficientnet_b0,256,resnet18,torchvision,1,,,,opencv_hog
agent_3,4,skipped,0.8669860363006592,Person,agent_1,1776424376.8912337,efficientnet_b0,256,resnet18,torchvision,1,,,,opencv_hog
agent_3,5,skipped,0.8685814142227173,Person,agent_1,1776424376.8912337,efficientnet_b0,256,resnet18,torchvision,1,,,,opencv_hog
agent_3,6,skipped,0.8683215379714966,Person,agent_1,1776424376.8912337,efficientnet_b0,256,resnet18,torchvision,1,,,,opencv_hog
agent_3,7,skipped,0.8706264495849609,Person,agent_1,1776424376.8912337,efficientnet_b0,256,resnet18,torchvision,1,,,,opencv_hog
agent_3,8,skipped,0.8695875406265259,Person,agent_1,1776424376.8912337,efficientnet_b0,256,resnet18,torchvision,1,,,,opencv_hog
